대륙별+국가별,성별,under_10,g10,g20,g30,g40,g50,g60,over_70,대륙
푸에르토리코,남    ,0,0,1,2,1,0,0,0,중남미
푸에르토리코,여    ,0,0,0,1,0,0,0,0,중남미
포클랜드,남    ,0,0,1,1,0,0,0,0,중남미
포클랜드,여    ,0,0,0,0,0,0,0,0,중남미
앵귈라,남    ,0,0,0,0,0,0,0,0,중남미
앵귈라,여    ,0,0,0,0,0,1,0,0,중남미
이스터 제도,남    ,0,0,0,0,0,0,0,0,대양주
과들루프,남    ,0,0,0,2,1,0,0,0,중남미
과들루프,여    ,0,0,0,1,1,0,0,0,중남미
마르티니크,남    ,0,0,0,1,1,0,0,0,중남미
마르티니크,여    ,1,0,0,0,0,0,0,0,중남미
러시아(연방),남    ,644,1282,3436,9103,9695,5211,2728,509,유럽
러시아(연방),여    ,612,1418,3245,2548,3172,4086,2117,345,유럽
독일,남    ,1773,3403,12694,30857,24400,10737,4052,594,유럽
독일,여    ,1539,3391,13266,10634,8669,8910,3305,452,유럽
영국,남    ,1917,6143,12809,14602,11963,6333,2489,319,유럽
영국,여    ,1700,5968,18544,9701,7504,6357,2246,273,유럽
프랑스,남    ,1349,2407,8738,19200,14935,6065,1778,308,유럽
프랑스,여    ,1280,3100,15373,11205,6577,4259,1567,259,유럽
네덜란드,남    ,533,1154,3018,6719,5982,3398,1761,288,유럽
네덜란드,여    ,438,1182,3647,3430,3438,4564,1814,222,유럽
우크라이나,남    ,6,12,86,159,164,73,33,5,유럽
우크라이나,여    ,12,25,73,32,48,67,35,2,유럽
이탈리아,남    ,729,1381,4000,8207,6141,3019,1068,174,유럽
이탈리아,여    ,656,1470,6686,5634,4141,3102,1241,195,유럽
불가리아,남    ,6,6,35,64,63,36,10,7,유럽
불가리아,여    ,5,21,38,34,48,35,8,4,유럽
스웨덴,남    ,84,27,289,688,440,147,39,8,유럽
스웨덴,여    ,34,27,205,165,76,58,25,9,유럽
폴란드,남    ,30,50,338,886,611,124,33,3,유럽
폴란드,여    ,41,58,185,141,85,51,13,3,유럽
덴마크,남    ,36,20,175,512,389,190,156,24,유럽
덴마크,여    ,17,28,187,155,143,315,176,23,유럽
그리스,남    ,36,83,515,787,486,266,119,18,유럽
그리스,여    ,28,113,764,400,245,313,111,13,유럽
스위스,남    ,242,457,1450,3438,2873,1345,540,69,유럽
스위스,여    ,236,456,2093,1727,1346,1301,451,55,유럽
노르웨이,남    ,58,32,144,481,357,141,27,2,유럽
노르웨이,여    ,31,27,101,131,96,61,34,6,유럽
스페인,남    ,119,221,859,1793,1366,553,180,46,유럽
스페인,여    ,117,205,1089,812,612,484,174,30,유럽
루마니아,남    ,11,12,63,163,137,60,15,3,유럽
루마니아,여    ,9,17,20,27,40,23,10,2,유럽
벨기에,남    ,21,18,158,495,362,105,27,6,유럽
벨기에,여    ,20,15,117,118,58,41,18,2,유럽
크로아티아,남    ,1,18,31,39,28,4,2,0,유럽
크로아티아,여    ,2,0,14,4,1,4,0,0,유럽
오스트리아,남    ,91,179,710,1357,946,296,81,14,유럽
오스트리아,여    ,80,290,814,508,363,205,62,21,유럽
포르투갈,남    ,9,27,151,326,247,187,134,16,유럽
포르투갈,여    ,20,30,137,143,190,324,164,10,유럽
아일랜드,남    ,21,101,195,152,84,27,13,2,유럽
아일랜드,여    ,20,88,218,85,50,24,6,2,유럽
핀란드,남    ,18,20,221,530,297,147,38,3,유럽
핀란드,여    ,12,13,160,112,95,120,24,3,유럽
라트비아,남    ,0,2,4,15,6,4,2,0,유럽
라트비아,여    ,3,0,3,3,3,0,1,0,유럽
체코,남    ,279,514,1323,3015,3253,2347,1399,221,유럽
체코,여    ,245,586,2139,2291,2899,3794,1487,138,유럽
헝가리,남    ,41,64,274,748,534,114,22,6,유럽
헝가리,여    ,30,51,170,177,89,46,29,8,유럽
리투아니아,남    ,1,2,15,17,16,5,3,0,유럽
리투아니아,여    ,7,5,7,5,3,1,1,0,유럽
슬로바크,남    ,24,31,193,647,496,87,8,2,유럽
슬로바크,여    ,23,24,32,51,36,14,6,1,유럽
벨로루시,남    ,0,0,3,6,7,2,0,0,유럽
벨로루시,여    ,1,0,3,1,1,0,0,0,유럽
슬로베니아,남    ,0,9,18,58,26,1,0,0,유럽
슬로베니아,여    ,1,7,3,5,1,1,0,0,유럽
세르비아 앤 몬테네그로,남    ,1,1,2,5,4,2,0,0,유럽
세르비아 앤 몬테네그로,여    ,0,0,5,4,1,1,0,0,유럽
에스토니아,남    ,1,5,2,25,14,0,1,0,유럽
에스토니아,여    ,1,1,12,19,2,3,0,0,유럽
그루지야,남    ,0,1,1,5,3,2,0,0,유럽
그루지야,여    ,0,1,0,3,0,5,0,0,유럽
룩셈부르크,남    ,14,6,17,50,45,15,3,0,유럽
룩셈부르크,여    ,3,4,20,12,12,5,0,0,유럽
아이슬란드,남    ,0,1,5,11,2,3,0,0,유럽
아이슬란드,여    ,0,0,2,2,2,0,0,0,유럽
몰도바,남    ,0,0,2,2,2,0,0,0,유럽
몰도바,여    ,0,0,2,0,0,0,0,0,유럽
알바니아,남    ,0,0,2,6,3,1,1,0,유럽
알바니아,여    ,0,0,3,2,0,1,0,0,유럽
아르메니아,남    ,0,0,0,1,2,1,0,0,아시아
아르메니아,여    ,0,0,0,0,0,0,0,0,아시아
아제르바이잔,남    ,0,1,11,36,41,13,5,0,아시아
아제르바이잔,여    ,3,10,17,16,9,0,3,0,아시아
몰타,남    ,1,4,34,24,15,5,2,0,유럽
몰타,여    ,0,5,41,10,6,5,0,0,유럽
보스니아-헤르체고비나,남    ,0,0,1,3,0,0,0,0,유럽
보스니아-헤르체고비나,여    ,0,0,0,1,1,0,0,0,유럽
리히텐슈타인,남    ,0,0,1,1,0,0,1,0,유럽
리히텐슈타인,여    ,0,0,0,1,0,0,0,0,유럽
산마리노,남    ,0,0,0,0,0,0,2,0,유럽
산마리노,여    ,0,0,1,1,0,1,2,0,유럽
마케도니아,남    ,0,0,0,2,1,0,0,0,유럽
마케도니아,여    ,0,0,0,0,0,0,0,0,유럽
