generation,sido,sex,country,value,region
g50,부산,남자,이탈리아,1,유럽
g50,부산,남자,중국,1,아시아
g50,부산,여자,보스니아 헤르체고비나,1,유럽
g50,부산,여자,일본,1,아시아
g50,부산,여자,중국,1,아시아
g50,부산,여자,태국,1,아시아
g50,대구,남자,뉴질랜드,1,대양주
g50,대구,남자,호주,1,대양주
g50,대구,여자,베트남,1,아시아
g50,대구,여자,일본,1,아시아
g50,대구,여자,크로아티아,1,유럽
g50,인천,여자,일본,1,아시아
g50,인천,여자,중국,1,아시아
g50,광주,남자,중국,1,아시아
g50,대전,남자,말레이시아,1,아시아
g50,대전,남자,아랍에미리트,1,중동
g50,대전,남자,중국,1,아시아
g50,대전,여자,일본,1,아시아
g50,대전,여자,캄보디아,1,아시아
g50,울산,여자,미얀마,1,아시아
g50,울산,여자,스위스,1,유럽
g50,울산,여자,이탈리아,1,유럽
g50,울산,여자,프랑스,1,유럽
g50,경기,남자,대만,1,아시아
g50,경기,남자,라오스,1,아시아
g50,경기,남자,말레이시아,1,아시아
g50,경기,남자,베트남,1,아시아
g50,경기,남자,일본,1,아시아
g50,경기,남자,중국,1,아시아
g50,경기,남자,캄보디아,1,아시아
g50,경기,남자,태국,1,아시아
g50,경기,남자,필리핀,1,아시아
g50,경기,여자,그리스,1,유럽
g50,경기,여자,대만,1,아시아
g50,경기,여자,모나코,1,유럽
g50,경기,여자,베트남,1,아시아
g50,경기,여자,스페인,1,유럽
g50,경기,여자,안도라,1,유럽
g50,경기,여자,일본,1,아시아
g50,경기,여자,중국,1,아시아
g50,경기,여자,캄보디아,1,아시아
g50,경기,여자,태국,1,아시아
g50,경기,여자,포르투갈,1,유럽
g50,경기,여자,프랑스,1,유럽
g50,강원,남자,일본,1,아시아
g50,강원,남자,홍콩,1,아시아
g50,강원,여자,베트남,1,아시아
g50,강원,여자,중국,1,아시아
g50,강원,여자,홍콩,1,아시아
g50,충북,남자,프랑스,1,유럽
g50,충북,여자,대만,1,아시아
g50,충북,여자,중국,1,아시아
g50,충남,남자,베트남,1,아시아
g50,충남,남자,중국,1,아시아
g50,충남,여자,중국,1,아시아
g50,전북,남자,베트남,1,아시아
g50,전북,남자,중국,1,아시아
g50,전북,여자,대만,1,아시아
g50,전북,여자,독일,1,유럽
g50,전북,여자,일본,1,아시아
g50,전북,여자,중국,1,아시아
g50,전북,여자,태국,1,아시아
g50,전북,여자,홍콩,1,아시아
g50,전남,남자,중국,1,아시아
g50,전남,남자,태국,1,아시아
g50,전남,여자,라오스,1,아시아
g50,전남,여자,스페인,1,유럽
g50,전남,여자,오스트리아,1,유럽
g50,전남,여자,일본,1,아시아
g50,전남,여자,중국,1,아시아
g50,전남,여자,체코,1,유럽
g50,전남,여자,크로아티아,1,유럽
g50,전남,여자,태국,1,아시아
g50,전남,여자,포르투갈,1,유럽
g50,전남,여자,필리핀,1,아시아
g50,전남,여자,헝가리,1,유럽
g50,전남,여자,홍콩,1,아시아
g50,경북,남자,필리핀,1,아시아
g50,경북,여자,대만,1,아시아
g50,경북,여자,일본,1,아시아
g50,경북,여자,중국,1,아시아
g50,경남,여자,미국,1,북미
g50,경남,여자,베트남,1,아시아
g50,경남,여자,일본,1,아시아
g50,경남,여자,중국,1,아시아
g50,제주,남자,일본,1,아시아
g50,제주,남자,홍콩,1,아시아
g60,서울,남자,미국,1,북미
g60,서울,남자,일본,1,아시아
g60,서울,남자,중국,1,아시아
g60,서울,남자,필리핀,1,아시아
g60,서울,여자,대만,1,아시아
g60,서울,여자,멕시코,1,중남미
g60,서울,여자,미국,1,북미
g60,서울,여자,베트남,1,아시아
g60,서울,여자,브라질,1,중남미
g60,서울,여자,아르헨티나,1,중남미
g60,서울,여자,일본,1,아시아
g60,서울,여자,중국,1,아시아
g60,서울,여자,칠레,1,중남미
g60,서울,여자,캄보디아,1,아시아
g60,서울,여자,쿠바,1,중남미
g60,서울,여자,태국,1,아시아
