"","age_cut","sido","q6_1","nn"
"261","g50","경기","022                                           ",1
"262","g50","경기","030                                           ",1
"263","g50","경기","034                                           ",1
"264","g50","경기","036                                           ",2
"265","g50","경기","070                                           ",1
"266","g50","경기","082                                           ",2
"267","g50","경기","123                                           ",1
"268","g50","경기","128                                           ",1
"269","g50","경기","170                                           ",1
"270","g50","경기","171                                           ",2
"271","g50","경기","176                                           ",2
"272","g50","경기","188                                           ",1
"273","g50","경기","221                                           ",1
"274","g50","경기","227                                           ",1
"275","g50","경기","232                                           ",1
"276","g50","경기","235                                           ",1
"277","g50","강원","154                                           ",1
"278","g50","강원","207                                           ",1
"279","g50","충북","123                                           ",1
"280","g50","충남","176                                           ",1
"281","g50","충남","188                                           ",1
"282","g50","충남","232                                           ",1
"283","g50","전북","171                                           ",1
"284","g50","전북","176                                           ",2
"285","g50","전북","207                                           ",1
"286","g50","전남","008                                           ",1
"287","g50","전남","030                                           ",1
"288","g50","전남","082                                           ",1
"289","g50","전남","171                                           ",2
"290","g50","전남","176                                           ",1
"291","g50","경북","070                                           ",1
"292","g50","경북","171                                           ",1
"293","g50","경북","176                                           ",1
"294","g50","경남","030                                           ",1
"295","g50","경남","128                                           ",2
"296","g50","경남","170                                           ",1
"297","g50","경남","171                                           ",1
"298","g50","경남","176                                           ",2
"299","g50","경남","188                                           ",1
"300","g50","경남","207                                           ",1
"301","g50","제주","070                                           ",1
"302","g50","제주","176                                           ",1
"303","g60","서울","030                                           ",2
"304","g60","서울","055                                           ",1
"305","g60","서울","070                                           ",1
"306","g60","서울","082                                           ",2
"307","g60","서울","086                                           ",1
"308","g60","서울","125                                           ",1
"309","g60","서울","128                                           ",1
"310","g60","서울","170                                           ",1
"311","g60","서울","171                                           ",1
"312","g60","서울","176                                           ",1
"313","g60","서울","188                                           ",1
"314","g60","서울","189                                           ",1
"315","g60","서울","201                                           ",1
"316","g60","서울","207                                           ",1
"317","g60","서울","232                                           ",1
"318","g60","부산","034                                           ",1
"319","g60","부산","071                                           ",1
"320","g60","부산","122                                           ",1
"321","g60","부산","123                                           ",1
"322","g60","부산","128                                           ",1
"323","g60","부산","153                                           ",1
"324","g60","부산","168                                           ",1
"325","g60","부산","176                                           ",1
"326","g60","부산","207                                           ",1
"327","g60","대구","052                                           ",1
"328","g60","대구","176                                           ",2
"329","g60","대구","236                                           ",1
"330","g60","인천","123                                           ",1
"331","g60","인천","171                                           ",1
"332","g60","인천","207                                           ",1
"333","g60","광주","082                                           ",1
"334","g60","광주","125                                           ",1
"335","g60","광주","154                                           ",1
"336","g60","광주","171                                           ",1
"337","g60","광주","182                                           ",1
"338","g60","광주","201                                           ",1
"339","g60","광주","227                                           ",1
"340","g60","광주","235                                           ",1
"341","g60","대전","055                                           ",1
"342","g60","대전","082                                           ",1
"343","g60","대전","176                                           ",1
"344","g60","대전","207                                           ",1
"345","g60","울산","021                                           ",1
