"TIME","GEO","AGE","UNIT","SEX","Value","Flag and Footnotes"
"1984","Malta","Total","Thousand persons","Total",":",""
"1984","Malta","Total","Percentage of total population","Total",":",""
"1984","Malta","Total","Percentage of active population","Total",":",""
"1984","Netherlands","Total","Thousand persons","Total","559",""
"1984","Netherlands","Total","Percentage of total population","Total",":",""
"1984","Netherlands","Total","Percentage of active population","Total","9.3",""
"1984","Austria","Total","Thousand persons","Total",":",""
"1984","Austria","Total","Percentage of total population","Total",":",""
"1984","Austria","Total","Percentage of active population","Total",":",""
"1984","Poland","Total","Thousand persons","Total",":",""
"1984","Poland","Total","Percentage of total population","Total",":",""
"1984","Poland","Total","Percentage of active population","Total",":",""
"1984","Portugal","Total","Thousand persons","Total","453",""
"1984","Portugal","Total","Percentage of total population","Total",":",""
"1984","Portugal","Total","Percentage of active population","Total","9.6",""
"1984","Romania","Total","Thousand persons","Total",":",""
"1984","Romania","Total","Percentage of total population","Total",":",""
"1984","Romania","Total","Percentage of active population","Total",":",""
"1984","Slovenia","Total","Thousand persons","Total",":",""
"1984","Slovenia","Total","Percentage of total population","Total",":",""
"1984","Slovenia","Total","Percentage of active population","Total",":",""
"1984","Slovakia","Total","Thousand persons","Total",":",""
"1984","Slovakia","Total","Percentage of total population","Total",":",""
"1984","Slovakia","Total","Percentage of active population","Total",":",""
"1984","Finland","Total","Thousand persons","Total",":",""
"1984","Finland","Total","Percentage of total population","Total",":",""
"1984","Finland","Total","Percentage of active population","Total",":",""
"1984","Sweden","Total","Thousand persons","Total","143",""
"1984","Sweden","Total","Percentage of total population","Total",":",""
"1984","Sweden","Total","Percentage of active population","Total","3.3",""
"1984","United Kingdom","Total","Thousand persons","Total","2,903",""
"1984","United Kingdom","Total","Percentage of total population","Total",":",""
"1984","United Kingdom","Total","Percentage of active population","Total","10.9",""
"1984","Iceland","Total","Thousand persons","Total",":",""
"1984","Iceland","Total","Percentage of total population","Total",":",""
"1984","Iceland","Total","Percentage of active population","Total",":",""
"1984","Norway","Total","Thousand persons","Total",":",""
"1984","Norway","Total","Percentage of total population","Total",":",""
"1984","Norway","Total","Percentage of active population","Total",":",""
"1984","Turkey","Total","Thousand persons","Total",":",""
"1984","Turkey","Total","Percentage of total population","Total",":",""
"1984","Turkey","Total","Percentage of active population","Total",":",""
"1984","United States","Total","Thousand persons","Total","8,538",""
