"행정구역(구)별","경제활동별","2010","2010","2010","2010","2010","2010","2010","2010","2010","2009","2009","2009","2009","2009","2009","2009","2009","2009","2008","2008","2008","2008","2008","2008","2008","2008","2008","2007","2007","2007","2007","2007","2007","2007","2007","2007","2006","2006","2006","2006","2006","2006","2006","2006","2006","2005","2005","2005","2005","2005","2005","2005","2005","2005"
"행정구역(구)별","경제활동별","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)","산출액(당해년 가격)","중간소비","지역내총부가가치(당해년가격)","고정자본소모","지역내순생산","순기타생산세","지역내요소소득","산출액(2005년 기준년가격)","지역내총부가가치(2005년 기준년가격)"
"동      구","총부가가치(기초가격)","4,266,842","1,919,147","2,347,696","332,620","2,015,075","29,680","1,985,395","3,722,203","2,078,513","3,862,433","1,739,057","2,123,376","314,453","1,808,923","28,104","1,780,819","3,440,581","1,950,616","3,573,878","1,505,644","2,068,234","266,522","1,801,712","26,071","1,775,640","3,565,291","1,976,281","3,691,499","1,569,138","2,122,361","256,857","1,865,504","34,831","1,830,673","3,558,970","2,026,471","3,497,315","1,429,106","2,068,209","263,526","1,804,683","29,825","1,774,858","3,591,745","2,150,827","3,311,034","1,312,122","1,998,912","228,419","1,770,493","22,911","1,747,582","3,311,034","1,998,912"
"동      구","농림어업","12,799","5,658","7,141","738","6,403","465","5,938","10,416","6,303","11,578","5,396","6,182","537","5,645","427","5,218","10,645","6,621","11,677","5,469","6,208","564","5,644","210","5,434","11,421","6,968","4,234","1,595","2,639","200","2,439","87","2,352","4,019","2,662","4,160","1,534","2,626","205","2,421","85","2,336","4,025","2,661","4,052","1,486","2,566","202","2,364","63","2,301","4,052","2,566"
"동      구","광업","227","103","125","15","110","1","109","158","90","212","90","121","10","112","1","111","173","100","280","119","162","12","149","1","148","242","145","13","5","8","1","7","0","7","14","9","4","2","2","0","2","0","2","4","2","200","81","119","11","108","1","107","200","119"
"동      구","제조업","114,297","79,784","34,513","3,307","31,206","59","31,147","72,089","20,676","92,379","64,680","27,698","3,344","24,354","57","24,297","64,115","17,996","89,539","63,597","25,942","3,556","22,386","50","22,336","62,555","17,599","86,682","60,778","25,904","3,334","22,570","148","22,422","73,262","20,475","85,173","59,235","25,938","3,252","22,686","148","22,538","76,924","21,847","75,775","51,834","23,941","2,907","21,034","111","20,923","75,775","23,941"
"동      구","전기,가스,증기및수도사업","129,375","101,871","27,504","12,137","15,367","100","15,267","86,983","22,270","95,103","75,134","19,969","9,717","10,252","83","10,169","72,041","21,533","115,374","102,368","13,006","17,178","-4,172","77","-4,249","83,702","25,245","9,162","3,186","5,976","2,531","3,445","5","3,440","8,690","5,758","13,952","6,508","7,444","2,394","5,050","8","5,042","13,230","7,178","13,794","6,320","7,474","2,222","5,252","8","5,244","13,794","7,474"
"동      구","건설업","301,209","194,757","106,451","9,027","97,425","858","96,566","245,968","96,447","219,632","159,139","60,493","12,926","47,567","359","47,208","123,691","54,945","173,837","101,259","72,578","3,955","68,623","292","68,331","266,514","95,606","175,145","101,736","73,409","4,190","69,219","566","68,653","166,337","70,163","158,679","90,413","68,266","3,747","64,519","492","64,027","155,110","67,398","175,905","101,164","74,741","4,192","70,549","903","69,646","175,905","74,741"
"동      구","도매및소매업","621,837","274,653","347,184","22,619","324,565","3,142","321,423","551,284","304,032","446,213","185,101","261,112","16,849","244,263","2,535","241,728","414,860","241,326","431,569","111,542","320,027","5,970","314,057","1,383","312,674","454,286","368,600","486,944","210,568","276,376","24,328","252,048","3,235","248,813","482,991","271,806","406,246","154,483","251,763","18,643","233,120","2,356","230,764","405,341","250,715","423,272","171,551","251,721","13,763","237,958","2,099","235,859","423,272","251,721"
"동      구","운수업","70,251","30,139","40,111","8,888","31,223","569","30,654","61,957","37,976","51,319","25,932","25,386","19,649","5,737","481","5,256","45,414","23,903","58,753","23,988","34,765","6,123","28,642","431","28,211","53,329","34,171","69,961","39,362","30,599","17,599","13,000","487","12,513","65,784","29,266","77,104","38,448","38,656","16,141","22,515","551","21,964","74,716","38,550","83,044","40,936","42,108","13,897","28,211","532","27,679","83,044","42,108"
"동      구","숙박및음식점업","256,007","175,855","80,152","7,980","72,172","1,420","70,752","221,020","74,855","254,708","176,448","78,260","7,629","70,631","1,409","69,222","224,959","74,422","261,609","177,059","84,550","7,730","76,820","1,252","75,568","240,483","79,691","249,299","164,224","85,075","8,186","76,889","1,885","75,004","241,392","80,034","237,041","156,995","80,046","7,663","72,383","1,769","70,614","233,575","77,441","232,258","153,331","78,927","7,742","71,185","1,500","69,685","232,258","78,927"
"동      구","정보및통신업","160,209","101,829","58,380","12,578","45,802","176","45,626","152,519","61,760","178,584","111,311","67,273","16,875","50,398","195","50,203","169,691","69,684","136,326","87,658","48,667","14,169","34,498","145","34,354","134,528","51,701","123,000","73,600","49,400","14,214","35,186","639","34,547","120,612","49,136","159,327","93,228","66,099","17,656","48,443","1,004","47,439","158,631","66,768","140,172","83,939","56,233","14,425","41,808","740","41,068","140,172","56,233"
