"","date","place","CO2","O3","CO","SO2","TinyDust","MicroDust","Year","Month","Day","date2"
"113",20170521,"금천구",0.024,0.041,0.4,0.004,34,19,"2017","05","21",2017-05-21
"114",20170521,"영등포구",0.024,0.044,0.6,0.004,33,17,"2017","05","21",2017-05-21
"115",20170521,"공항대로",0.033,0.029,0.3,0.006,41,27,"2017","05","21",2017-05-21
"116",20170521,"동작구",0.018,0.048,0.3,0.004,25,17,"2017","05","21",2017-05-21
"117",20170521,"마포구",0.021,0.04,0.4,0.005,33,23,"2017","05","21",2017-05-21
"118",20170520,"서대문구",0.032,0.038,0.5,0.01,41,33,"2017","05","20",2017-05-20
"119",20170520,"동대문구",0.031,0.032,0.4,0.007,32,17,"2017","05","20",2017-05-20
"120",20170520,"화랑로",0.052,0.021,0.9,0.005,75,NA,"2017","05","20",2017-05-20
"121",20170520,"종로",0.039,0.035,0.3,0.006,38,23,"2017","05","20",2017-05-20
"122",20170520,"송파구",0.038,0.035,0.5,0.005,48,23,"2017","05","20",2017-05-20
"123",20170520,"강남대로",0.07,0.02,0.6,0.006,48,NA,"2017","05","20",2017-05-20
"124",20170520,"홍릉로",0.048,0.028,0.5,0.007,42,23,"2017","05","20",2017-05-20
"125",20170520,"중구",0.033,0.044,0.4,0.007,32,19,"2017","05","20",2017-05-20
"126",20170520,"성북구",0.031,0.037,0.5,0.006,38,21,"2017","05","20",2017-05-20
"127",20170520,"구로구",0.022,0.038,0.4,0.007,38,20,"2017","05","20",2017-05-20
"128",20170520,"금천구",0.033,0.043,0.4,0.004,36,19,"2017","05","20",2017-05-20
"129",20170520,"서초구",0.034,0.042,0.4,0.006,38,21,"2017","05","20",2017-05-20
"130",20170520,"영등포로",0.069,0.013,0.5,0.007,59,NA,"2017","05","20",2017-05-20
"131",20170520,"강북구",0.02,0.052,0.4,0.003,24,15,"2017","05","20",2017-05-20
"132",20170520,"은평구",0.029,0.041,0.4,0.007,38,21,"2017","05","20",2017-05-20
"133",20170520,"동작구",0.029,0.048,0.3,0.004,28,18,"2017","05","20",2017-05-20
"134",20170520,"도산대로",0.044,0.027,0.5,0.006,44,23,"2017","05","20",2017-05-20
"135",20170520,"광진구",0.036,0.039,0.5,0.006,35,17,"2017","05","20",2017-05-20
"136",20170520,"성동구",0.04,0.022,0.4,0.005,53,23,"2017","05","20",2017-05-20
"137",20170520,"양천구",0.032,0.031,0.4,0.006,35,26,"2017","05","20",2017-05-20
"138",20170520,"영등포구",0.036,0.04,0.6,0.007,45,19,"2017","05","20",2017-05-20
"139",20170520,"노원구",0.03,0.044,0.4,0.004,34,20,"2017","05","20",2017-05-20
"140",20170520,"마포구",0.032,0.041,0.4,0.007,38,25,"2017","05","20",2017-05-20
"141",20170520,"용산구",0.033,0.021,0.3,0.005,31,21,"2017","05","20",2017-05-20
"142",20170520,"종로구",0.033,0.045,0.5,0.007,33,19,"2017","05","20",2017-05-20
"143",20170520,"강남구",0.037,0.029,0.3,0.006,41,20,"2017","05","20",2017-05-20
"144",20170520,"강서구",0.03,0.046,0.3,0.008,41,19,"2017","05","20",2017-05-20
"145",20170520,"천호대로",0.05,0.028,0.5,0.004,38,22,"2017","05","20",2017-05-20
"146",20170520,"한강대로",0.052,0.029,0.5,0.007,63,NA,"2017","05","20",2017-05-20
"147",20170520,"신촌로",0.072,0.015,0.8,0.009,47,28,"2017","05","20",2017-05-20
"148",20170520,"중랑구",0.036,0.036,0.3,0.007,42,24,"2017","05","20",2017-05-20
"149",20170520,"강동구",0.04,0.032,0.5,0.004,45,18,"2017","05","20",2017-05-20
"150",20170520,"공항대로",0.051,0.026,0.4,0.007,60,31,"2017","05","20",2017-05-20
"151",20170520,"동작대로",0.066,0.023,0.6,0.007,47,NA,"2017","05","20",2017-05-20
"152",20170520,"관악구",0.033,0.042,0.4,0.005,43,25,"2017","05","20",2017-05-20
"153",20170520,"도봉구",0.022,0.046,0.5,0.004,33,20,"2017","05","20",2017-05-20
"154",20170520,"정릉로",0.038,0.042,0.4,0.008,44,23,"2017","05","20",2017-05-20
"155",20170520,"청계천로",0.042,0.036,0.5,0.007,42,24,"2017","05","20",2017-05-20
"156",20170520,"강변북로",0.06,0.018,0.5,0.005,49,NA,"2017","05","20",2017-05-20
"157",20170519,"중랑구",0.031,0.045,0.3,0.007,50,26,"2017","05","19",2017-05-19
