"","num","pid","psid","month","count","q1","q2_1_1","q2_1_2","q2_2_1","q2_2_2","q2_3_1","q2_3_2","q3","q4","q4_1","q4_2","q4_3","q4_4","q4_5","q4_6","q4_7","q5","q5_1_1","q5_1_2_1","q5_1_2_2","q5_1_2_3","q5_1_2_4","q5_1_2_5","q5_1_2_6","q5_1_3","q5_1_4","q5_1_5","q5_1_6","q5_1_7","q5_2_1","q5_2_2","q6","q7_1_1","q7_1_2","q7_1_3","q7_2","q7_3_1","q7_4_1","q7_4_2","q7_4_3","q7_5","q7_6","q7_7"
"3014",3014,1177,20,10,2,1,10,18,10,18,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,16,1,NA,NA,NA,NA,NA,1,50000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3015",3015,1178,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3016",3016,1178,20,12,1,1,12,30,12,30,0,1,4,2,NA,NA,NA,NA,NA,NA,NA,1,38,6,NA,NA,NA,NA,NA,1,10000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3017",3017,1179,10,8,1,1,8,6,8,7,1,2,1,1,1,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3018",3018,1179,10,9,1,1,9,3,9,4,1,2,1,1,1,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3019",3019,1179,10,10,1,1,10,10,10,10,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,8,2,NA,NA,NA,NA,NA,1,20000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3020",3020,1179,10,10,2,1,10,17,10,17,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,6,2,NA,NA,NA,NA,NA,1,20000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3021",3021,1179,10,10,3,1,10,27,10,27,0,1,1,1,1,NA,NA,NA,NA,1,NA,1,6,1,NA,NA,NA,NA,NA,1,30000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3022",3022,1179,10,11,1,1,11,7,11,7,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,8,2,NA,NA,NA,NA,NA,1,20000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3023",3023,1179,10,11,2,1,11,8,11,8,0,1,4,2,NA,NA,NA,NA,NA,NA,NA,1,14,2,NA,NA,NA,NA,NA,1,50000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3024",3024,1179,10,11,3,1,11,15,11,15,0,1,4,1,1,NA,NA,NA,NA,NA,NA,1,11,2,NA,NA,NA,NA,NA,1,50000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3025",3025,1179,10,11,4,1,11,21,11,21,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,8,2,NA,NA,NA,NA,NA,1,20000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3026",3026,1179,10,12,1,1,12,15,12,15,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,8,2,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3027",3027,1179,11,8,1,1,8,30,9,1,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,1,4,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3028",3028,1179,12,9,1,1,9,5,9,7,2,3,1,1,1,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,1,60000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3029",3029,1179,13,8,1,1,8,28,8,28,0,1,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3030",3030,1179,13,9,1,1,9,8,9,9,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3031",3031,1180,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3032",3032,1180,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3033",3033,1181,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3034",3034,1181,20,10,1,1,10,13,10,13,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,38,3,NA,NA,NA,NA,NA,1,20000,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3035",3035,1182,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3036",3036,1182,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3037",3037,1182,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3038",3038,1182,20,10,1,1,10,30,10,30,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,10,3,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3039",3039,1182,20,11,1,1,11,20,11,20,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,18,3,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3040",3040,1183,10,11,1,1,11,14,11,14,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,15,2,NA,NA,NA,NA,NA,1,30000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3041",3041,1183,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3042",3042,1183,12,8,1,1,8,18,8,19,1,2,1,1,1,1,NA,NA,NA,NA,NA,1,16,1,NA,NA,NA,NA,NA,1,50000,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3043",3043,1183,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3044",3044,1184,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3045",3045,1184,20,10,1,1,10,17,10,17,0,1,1,2,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3046",3046,1185,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
