"행정구역(구)별","경제활동별","2005","2005","2006","2006","2007","2007","2008","2008","2009","2009","2010","2010"
"행정구역(구)별","경제활동별","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)","당해년가격 (백만원)","2005년 기준년가격 (백만원)"
"북     구","총부가가치(기초가격)","4,658,117","4,658,117","4,731,337","4,580,428","4,839,918","4,661,175","4,890,664","4,611,404","4,989,597","4,633,442","5,672,619","5,152,844"
"북     구","농림어업","45,996","45,996","46,804","47,497","46,935","47,419","31,836","32,616","31,926","31,369","37,208","28,793"
"북     구","광업","731","731","227","244","230","247","87","77","65","54","67","48"
"북     구","제조업","698,915","698,915","708,143","715,873","719,404","743,429","776,754","750,018","866,114","851,171","1,072,432","1,047,635"
"북     구","전기,가스,증기및수도사업","37,635","37,635","55,098","54,733","62,991","62,446","41,403","85,833","73,757","80,412","95,988","78,193"
"북     구","건설업","431,817","431,817","485,135","478,063","450,790","430,757","374,673","328,037","202,029","183,823","222,695","198,359"
"북     구","도매및소매업","850,272","850,272","799,728","796,946","745,285","732,756","702,476","673,478","721,331","693,394","929,067","850,179"
"북     구","운수업","162,862","162,862","185,765","179,845","205,596","189,818","189,355","189,321","206,810","184,759","252,382","230,944"
"북     구","숙박및음식점업","154,664","154,664","164,987","159,585","174,219","163,822","181,882","171,269","179,730","171,348","170,234","159,402"
"북     구","정보및통신업","149,072","149,072","63,039","63,685","97,633","95,991","128,856","145,062","133,410","148,579","148,351","170,371"
"북     구","금융및보험업","269,993","269,993","200,128","202,566","215,138","221,830","269,780","273,103","246,605","258,238","273,651","267,847"
"북     구","부동산업및임대업","408,651","408,651","446,493","355,444","411,414","389,412","416,966","391,106","440,893","405,223","453,017","418,188"
"북     구","사업서비스업","211,186","211,186","239,260","227,560","358,121","328,717","262,585","224,055","289,605","240,495","308,710","251,601"
"북     구","공공행정,국방및사회보장행정","148,250","148,250","240,190","233,008","240,398","225,133","315,610","284,133","411,246","356,553","430,394","368,384"
"북     구","교육서비스업","485,092","485,092","540,256","519,810","581,804","530,603","616,528","536,022","537,344","449,166","578,245","473,714"
"북     구","보건업및사회복지서비스업","349,705","349,705","254,800","247,414","285,980","266,506","321,047","288,259","378,810","337,921","409,079","356,674"
"북     구","예술,스포츠및여가관련서비스업","71,867","71,867","78,632","79,120","80,710","79,049","95,388","92,121","104,679","98,626","83,792","77,958"
"북     구","기타서비스업","181,409","181,409","222,652","219,035","163,270","153,240","165,439","146,895","165,243","142,310","207,305","174,554"
"광 산 구","지역내총생산(시장가격)","5,417,501","5,417,501","6,144,970","6,137,853","6,675,389","6,675,856","6,669,315","6,340,729","6,744,895","6,651,752","8,098,350","7,341,232"
"광 산 구","순생산물세","545,394","545,394","634,636","642,437","641,281","647,236","629,610","602,685","638,247","570,899","677,201","588,558"
"광 산 구","총부가가치(기초가격)","4,872,108","4,872,108","5,510,334","5,495,416","6,034,107","6,028,620","6,039,704","5,738,044","6,106,648","6,080,853","7,421,149","6,752,674"
"광 산 구","농림어업","84,190","84,190","85,785","87,063","86,007","86,907","98,033","100,277","99,400","96,851","118,364","91,447"
"광 산 구","광업","962","962","1,461","1,567","1,032","1,106","606","542","455","376","467","336"
"광 산 구","제조업","2,382,668","2,382,668","2,457,067","2,499,390","2,546,439","2,664,677","2,648,894","2,474,609","2,640,893","2,877,734","3,913,601","3,614,660"
"광 산 구","전기,가스,증기및수도사업","139,729","139,729","160,617","147,081","167,259","148,308","37,122","81,139","67,740","74,701","107,260","83,966"
"광 산 구","건설업","362,006","362,006","490,850","483,868","513,802","492,485","583,706","605,516","381,299","355,883","362,761","332,810"
"광 산 구","도매및소매업","297,902","297,902","368,973","367,730","502,177","493,835","360,526","343,593","523,880","497,828","370,532","330,161"
"광 산 구","운수업","114,890","114,890","152,644","152,692","202,670","199,568","138,311","140,600","208,762","195,752","255,900","247,134"
